id,countryId,title,company,location,description,requirements,benefits,salary,sourceUrl,sourceName,isVerified,isActive,externalId,createdAt,updatedAt,category,education,language,employmentType,remoteWork,postedAt
1,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-21 15:34:43,2025-11-21 15:34:43,,,,,0,
2,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-21 15:35:12,2025-11-21 15:35:12,,,,,0,
30001,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-21 16:11:34,2025-11-21 16:11:34,,,,,0,
60001,1,Farm Worker - Fruit Harvesting,BC Fruit Growers Association,"Kelowna, British Columbia",Seasonal farm workers needed for apple and cherry harvesting. Housing provided on-site.,No experience required. Must be physically fit and able to work outdoors. English basic level helpful.,"[""Housing included"",""Meals provided"",""Transportation from housing to farm""]",CAD 16.50/hour,https://www.jobbank.gc.ca,Job Bank Canada,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60002,1,Greenhouse Worker,Ontario Greenhouse Vegetable Growers,"Leamington, Ontario","Year-round work in greenhouse operations. Planting, harvesting, and packing vegetables.",Previous greenhouse or farm experience preferred. Ability to work in humid conditions.,"[""Housing available"",""Health insurance after 3 months"",""Overtime opportunities""]",CAD 15.75/hour,https://www.jobbank.gc.ca,Job Bank Canada,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60003,1,Hotel Housekeeper - Seasonal,Banff Springs Hotel,"Banff, Alberta",Seasonal housekeeping positions in luxury mountain resort. Peak season May-October.,Previous housekeeping experience preferred. English intermediate level required.,"[""Staff accommodation available"",""Ski pass (winter season)"",""Meals discounted""]",CAD 17.00/hour,https://www.jobbank.gc.ca,Job Bank Canada,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60004,1,Seafood Processing Worker,Atlantic Seafood Processors,"Lunenburg, Nova Scotia",Seasonal seafood processing during lobster and crab season (April-November).,No experience required. Training provided. Must be comfortable working with seafood.,"[""Housing assistance"",""Bonus for season completion"",""Free seafood samples""]",CAD 16.00/hour,https://www.jobbank.gc.ca,Job Bank Canada,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60005,1,Restaurant Server - Summer Season,Whistler Village Restaurants,"Whistler, British Columbia",Summer season servers needed for busy mountain resort restaurants.,Previous serving experience required. English fluent. Food Safe certification preferred.,"[""Tips average CAD 100-150/day"",""Staff meals"",""Mountain activities discounts""]",CAD 15.65/hour + tips,https://www.jobbank.gc.ca,Job Bank Canada,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60006,2,Berry Picker - Summer Season,Norwegian Berry Farms,Trøndelag Region,"Seasonal berry picking (strawberries, blueberries) from June to September.",No experience required. Must be physically fit. Accommodation provided.,"[""Free accommodation"",""Transportation provided"",""Beautiful nature setting""]",NOK 180/hour,https://www.nav.no,NAV.NO,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60007,2,Hotel Staff - Ski Resort,Hemsedal Ski Resort,"Hemsedal, Buskerud","Winter season hotel staff needed for reception, housekeeping, and restaurant service.","English required, Norwegian helpful. Previous hospitality experience preferred.","[""Free ski pass"",""Staff accommodation"",""Meals included""]",NOK 195/hour,https://www.workingnorway.no,Work in Norway,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60008,2,Fish Farm Worker,Norwegian Salmon Farms,Western Norway (Fjord Region),"Work in salmon farming operations. Feeding, monitoring, and harvesting.",No experience required. Training provided. Must be comfortable working on water.,"[""Housing provided"",""Boat license training"",""Stable year-round work""]",NOK 200/hour,https://www.nav.no,NAV.NO,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
60009,2,Cruise Ship Staff,Hurtigruten Norwegian Coastal Voyage,Various Norwegian Ports,"Seasonal staff for coastal cruise ships. Cabin crew, restaurant, and deck positions.",English required. Previous cruise or hospitality experience preferred.,"[""See all of Norway"",""Accommodation and meals included"",""International team""]",NOK 185/hour,https://www.workingnorway.no,Work in Norway,1,1,,2025-11-21 16:21:22,2025-11-21 16:21:22,,,,,0,
90001,2,"Knarvik legekontor søkjer no etter engasjerte helsesekretærer i 40-80% vikariat stilling frå 01.11.25, , eller etter avtale.",,,"
**Requisitos:**
• Helsesekretær med autorisasjon
• Grunnleggjande god digital kompetanse
• Gode norskkunnskaper, både skriftleg og munnleg
• Dersom du har erfaring frå arbeid på legekontor er dette eit føremon
• Kven er du?

**Oferecemos:**
• Løn ihht hovedtariffavtale
• God pensjonsordning
• Varierte arbeidsoppgåver
• Mogelegheit for å vere med å vidareutvikle legekontoret, med fokus på kompetanseheving og kvalitetsforbedring
• Politiattest I tråd med helsepersonellova § 5-4 vert det stilt krav om tilfredsstillande politiattest ved tiltrede.","Helsesekretær med autorisasjon
Grunnleggjande god digital kompetanse
Gode norskkunnskaper, både skriftleg og munnleg
Dersom du har erfaring frå arbeid på legekontor er dette eit føremon
Kven er du?","[""Vi tilbyr"",""Løn ihht hovedtariffavtale"",""God pensjonsordning"",""Varierte arbeidsoppgåver"",""Mogelegheit for å vere med å vidareutvikle legekontoret, med fokus på kompetanseheving og kvalitetsforbedring""]",,https://arbeidsplassen.nav.no/stillinger/stilling/e509dec4-0921-4f1b-92f8-348e2628972b,arbeidsplassen.nav.no,1,1,,2025-11-21 22:41:06,2025-11-21 22:41:06,,,,,0,
90002,2,Brenner du for gode gjesteopplevelser?,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/25861e2c-c6f4-44f7-ac43-10137214d4f6,arbeidsplassen.nav.no,1,1,,2025-11-21 22:41:06,2025-11-21 22:41:06,,,,,0,
90003,2,KRO MEDARBEIDER - FAST JOBB,,,"
**Oferecemos:**
• Vi tilbyr et hyggelig sted på Finnskogen. Vi driver med mange forskjellige ting
• fra mat, butikk. bensinstasjon, brukt og antikk, Camping-hytter, rom ,Helsesenter, dyr, camping - vi trenger en person som kan jobbe med det meste og da blir dagene dine hyggelig.",,"[""Vi tilbyr et hyggelig sted på Finnskogen. Vi driver med mange forskjellige ting"",""fra mat, butikk. bensinstasjon, brukt og antikk, Camping-hytter, rom ,Helsesenter, dyr, camping - vi trenger en person som kan jobbe med det meste og da blir dagene dine hyggelig.""]",,https://arbeidsplassen.nav.no/stillinger/stilling/0e66a784-1417-45d7-a922-a9b06e493c42,arbeidsplassen.nav.no,1,1,,2025-11-21 22:41:06,2025-11-21 22:41:06,,,,,0,
90004,2,Backend Engineer-JAVA,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/6d259ae8-1e88-4441-989e-214ca978a7e2,arbeidsplassen.nav.no,1,1,,2025-11-21 22:41:06,2025-11-21 22:41:06,,,,,0,
90005,2,Tour Guide Job in Voss and the Fjords – Summer Season 2026,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/cb70834e-907c-4a6f-9d05-f71eece03550,arbeidsplassen.nav.no,1,1,,2025-11-21 22:41:06,2025-11-21 22:41:06,,,,,0,
120001,2,Vet du hva FDV betyr? Da vil vi gjerne snakke med deg!,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/d9700d46-970a-414c-bc5b-3c2c61d42156,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:49
120002,2,Veitrygghet søker flere trafikkmedarbeidere,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/59c94c21-6234-479f-8314-6ad07545e2be,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:49
120003,2,Ambulansearbeider / Paramedisiner,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/1ce693bd-4285-4b3a-bb77-7355e7326404,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:49
120004,2,Vil du være med å skape aktivitet og idrettsglede?,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/5f67ca0d-5f8a-409d-b403-f769e7956ee3,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120005,2,Fastlege i næring,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/79ce7036-3712-48df-be86-956b93af2aa6,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120006,2,Kongsberghjelpa søker ny medarbeider i fast 100 % stilling,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/8c1ff503-f004-45e2-9c7d-71aff2c558ec,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120007,2,Barnehagelærer,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/8d79a831-ed4b-4129-9b02-2d10927670e3,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120008,2,Sekretær,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/9ed8dd84-5dc2-4e80-ad0b-92510c435684,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120009,2,Psykisk helsearbeider med videreutdanning/master,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/c339b8a5-ed39-4476-8fc8-50aa3d6c67c3,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120010,2,Ambulansearbeidar/ Paramedisinar,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/cb9b80b5-d16c-48df-802e-924e84bc3413,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120011,2,Helsefagarbeider,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/d061fbde-2cfb-4bdf-8f25-c08c88e3721e,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120012,2,Vi søker en dyktig controller og innkjøpsplanlegger til vår prosjektstøtteseksjon?,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/e5a7e518-6e74-40e0-bccf-e4d138740299,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120013,2,Renholder,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/75a1ade7-7362-4866-8399-d8a7709380e4,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120014,2,Dalane Legesenter i Egersund søker ny helsesekretær,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/c9075257-1342-4c51-8bd4-c5639fc49897,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120015,2,Bartender/ryddehjelp på Mike's Pub - Sætre,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/ed7fae94-f3d6-4fac-9974-99e8d3d3f5d7,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120016,2,Renhold24 søker medarbeidere til profesjonelt renhold,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/141704e5-fe60-45e0-8132-952d6a80ee62,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120017,2,Serviceleder,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/6d60032a-b3d3-4e3f-ac5e-8a23d0a8f5c0,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120018,2,kokk/pizza baker,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/94e0e4a0-bb00-4be5-b2ac-5d82ad708f98,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120019,2,"Dybwadsgynekologene søker dyktig, autorisert helsesekretær, 73% stilling",,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/50c19c5e-310a-42d8-b679-c4ecf8788c69,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120020,2,Vi søker lastebilsjåfører! Førerkort klasse C for dagskjøring . snarlig oppstart.,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/72579e6f-d1ea-4784-8c6d-a39ede34c4ca,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120021,2,M-venn i Indre Østfold,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/0300d3cb-0113-4866-bb7e-bb8f1a6e0172,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120022,2,Deltidsstilling: Servitør,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/03f37794-e6e5-48e0-883c-97b05faeb90f,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120023,2,Pedagogisk Bemanning | Stavanger- søker vikarer til barnehager,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/75f647b3-6172-44d3-9f4e-4299b6284b62,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120024,2,Pedagogisk Bemanning | Tromsø - søker vikarer til barnehager,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/476f7fe3-c01a-4648-a9a1-77111838a22c,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
120025,2,Pedagogisk Bemanning | Stord - søker vikarer til barnehager,,,Descrição não disponível,,,,https://arbeidsplassen.nav.no/stillinger/stilling/983d26a0-5869-4c48-8583-12eca96f9bb3,arbeidsplassen.nav.no,1,1,,2025-11-24 01:18:49,2025-11-24 01:18:49,,,,,0,2025-11-24 01:18:50
150001,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 04:14:53,2025-11-25 04:14:53,,,,,0,
180001,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 04:33:56,2025-11-25 04:33:56,,,,,0,
210001,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 04:46:47,2025-11-25 04:46:47,,,,,0,
210002,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 04:57:54,2025-11-25 04:57:54,,,,,0,
210003,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 05:03:42,2025-11-25 05:03:42,,,,,0,
210004,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 05:07:50,2025-11-25 05:07:50,,,,,0,
240001,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 05:21:15,2025-11-25 05:21:15,,,,,0,
240002,1,Test Job,Test Company,Test Location,Test Description,Test Requirements,Test Benefits,CAD 3000/month,https://example.com,Test Source,1,1,,2025-11-25 05:28:45,2025-11-25 05:28:45,,,,,0,
